"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"EC","GO:0030866","cortical actin cytoskeleton organization","6/288","39/18860",0.153846153846154,10.0747863247863,7.06437265396777,2.57049777022782e-05,0.00212663934681753,0.00173478168564514,"3936/23136/7430/10015/9475/811",6
"EC","GO:2001234","negative regulation of apoptotic signaling pathway","14/288","245/18860",0.0571428571428571,3.74206349206349,5.37966540644695,2.58700943489e-05,0.00212663934681753,0.00173478168564514,"3958/3315/1191/2876/1457/2244/7178/2243/2266/2247/3685/6648/3303/3304",14
"EC","GO:0007160","cell-matrix adhesion","14/288","246/18860",0.056910569105691,3.72685185185185,5.36087250873163,2.70612321097725e-05,0.00217512170091216,0.00177433061061268,"10391/302/1845/2244/10580/8613/6281/2243/2266/23332/3685/9475/3679/88",14
"EC","GO:0006809","nitric oxide biosynthetic process","8/288","80/18860",0.1,6.54861111111111,6.19309473470133,3.00202035871696e-05,0.00229600641489456,0.00187294093126012,"1191/6697/8570/6648/3320/9475/1727/3326",8
"EC","GO:0072524","pyridine-containing compound metabolic process","12/288","186/18860",0.0645161290322581,4.22491039426523,5.50404129444134,3.01059317101522e-05,0.00229600641489456,0.00187294093126012,"2203/55739/1291/57103/9555/23788/55753/23475/51181/29968/5224/5226",12
"EC","GO:0010038","response to metal ion","17/288","351/18860",0.0484330484330484,3.17169199113644,5.11430408817928,3.04863775702724e-05,0.00229600641489456,0.00187294093126012,"288/2203/2244/5066/9456/84557/2243/8895/7184/2266/57103/6648/811/3208/1742/847/5224",17
"EC","GO:0030833","regulation of actin filament polymerization","10/288","130/18860",0.0769230769230769,5.03739316239316,5.75214820630846,3.13446771370826e-05,0.00229600641489456,0.00187294093126012,"11151/81553/120/8440/5581/23580/5217/822/25959/85477",10
"EC","GO:0008154","actin polymerization or depolymerization","12/288","187/18860",0.0641711229946524,4.20231729055259,5.48030023354757,3.17390989064772e-05,0.00229600641489456,0.00187294093126012,"11151/81553/120/8440/11034/5581/23580/5217/822/25959/88/85477",12
"EC","GO:0042744","hydrogen peroxide catabolic process","5/288","25/18860",0.2,13.0972222222222,7.5370099269922,3.31647308090699e-05,0.00230686214108473,0.00188179636554298,"3240/9588/2876/5052/847",5
"EC","GO:0051131","chaperone-mediated protein complex assembly","5/288","25/18860",0.2,13.0972222222222,7.5370099269922,3.31647308090699e-05,0.00230686214108473,0.00188179636554298,"325/1191/3320/3303/3326",5
"EC","GO:0019751","polyol metabolic process","9/288","110/18860",0.0818181818181818,5.35795454545454,5.7082717396079,4.81075113289131e-05,0.00328311072597507,0.00267815996534148,"5092/6697/8613/8867/51477/23236/4204/3612/6652",9
"EC","GO:0042730","fibrinolysis","5/288","27/18860",0.185185185185185,12.1270576131687,7.20491235639616,4.91487674189438e-05,0.00329205725470963,0.00268545799367056,"302/710/2244/2243/2266",5
"EC","GO:0002526","acute inflammatory response","9/288","112/18860",0.0803571428571429,5.26227678571429,5.63377403987303,5.5436233869375e-05,0.00355284174123961,0.00289818995116471,"325/5004/3700/3240/5005/12/5265/718/1991",9
"EC","GO:0061041","regulation of wound healing","10/288","139/18860",0.0719424460431655,4.71123101518785,5.46873783258031,5.55739247668542e-05,0.00355284174123961,0.00289818995116471,"325/302/301/710/2244/2243/2266/2247/23332/5581",10
"EC","GO:0031589","cell-substrate adhesion","17/288","369/18860",0.046070460704607,3.01697530864198,4.87258924330243,5.6900491042262e-05,0.00355284174123961,0.00289818995116471,"11151/10391/302/1845/2244/10580/8613/6281/2243/2266/23332/3685/5581/9475/811/3679/88",17
"EC","GO:0032984","protein-containing complex disassembly","14/288","264/18860",0.053030303030303,3.47274831649832,5.03846616154663,5.84732012982156e-05,0.00355284174123961,0.00289818995116471,"120/9829/3831/51534/11034/84557/8867/91782/23332/3796/822/88/85477/3159",14
"EC","GO:0034599","cellular response to oxidative stress","14/288","264/18860",0.053030303030303,3.47274831649832,5.03846616154663,5.84732012982156e-05,0.00355284174123961,0.00289818995116471,"6649/2876/7168/5066/318/84557/5052/6648/6416/3303/3304/847/9283/8575",14
"EC","GO:0031639","plasminogen activation","5/288","28/18860",0.178571428571429,11.6939484126984,7.05172088823066,5.90902898684255e-05,0.00355284174123961,0.00289818995116471,"302/2244/6281/2243/2266",5
